Gene,N-FACS (1+2+3),N-T0 (2+3),N-T3 (1+2+3)
CG33469,0.60857208,0.052041256,0
CG3347,0.062428157,0,0
CG33470,0,0,0
CG33474,0.098111105,0.644369514,0.517564111
CG33475,0,0,0
CG33476,0,0,0
CG33477,0,0,0
CG3348,6.323468852,9.314553793,5.292003846
CG33483,0,0,0
CG33489,0,0,0
CG3349,0.031214078,0.156123767,0.240999697
CG33490,0,0.037557365,0.070817922
CG33493,2.983994545,3.603819281,2.864131847
CG33494,3.136378116,24.75549188,38.02301558
CG33500,0.062428157,0,0.0326949
CG33502,0,0,0
CG33506,27.89651733,22.40303077,18.78171676
CG33509,0.28026874,1.387430986,4.116300485
CG33510,0.062428157,0.089598621,0.038123022
CG33511,0.127090749,0.052041256,0.111499249
CG33514,1.235814059,2.1037162,2.069911043
CG33521,34.45237863,25.21106706,23.52003653
CG3353,51.56054831,58.68374694,63.7077049
CG33543,4.857599013,0.164713351,0.038123022
CG3355,0.124856314,0,0
CG33552,0.631903377,0.777419807,0.710426013
CG33557,0.031214078,0,0
CG3356,83.05041764,132.6794117,140.1069773
CG3358,38.91640982,53.08450051,52.19262896
CG33626,0,0,0
CG33627,0,0,0
CG33630,0,0,0
CG33631,0.031214078,0.037557365,0
CG33632,0.245867501,0.277385447,0.338646717
CG33635,6.347411957,15.56288003,14.19867522
CG33639,2.857698216,0.297763644,0.762275097
CG33640,0.062428157,0,0.110220097
CG33641,0.252899788,0.037557365,0.0326949
CG33642,0.19175334,0.037557365,0.0980847
CG33643,0.124856314,0.052041256,0.103512822
CG33644,0.127090749,0.089598621,0.0326949
CG33645,0.129325183,0,0.110220097
CG33647,0,0,0
CG33648,0.093642235,0.127155986,0.360796885
CG33649,0,0,0
CG33654,0.031214078,0,0
CG33655,11.66580437,23.99373998,28.6893301
CG33658,0.031214078,0,0.038123022
CG33664,0,0,0
CG33665,0,0,0
CG33666,0,0,0
CG33667,0,0,0
CG33668,0,0,0
CG33669,0,0,0
CG33671,0,0,0
CG33672,0,0,0
CG33673,0,0,0
CG33679,1.959261691,2.679369044,2.13084036
CG3368,153.9166512,274.5662722,286.0241157
CG33680,0,0,0
CG33687,0.062428157,0,0
CG33688,0.062428157,0,0
CG33689,0,0,0
CG33690,0,0,0
CG33695,68.48538044,76.58007041,70.90821533
CG33696,2.154031515,0.612706456,1.243962978
CG33700,0.033448513,0,0.070817922
CG33702,0,0,0
CG33703,0,0.104082512,0
CG33704,0.031214078,0,0
CG33710,0,0,0
CG33713,0,0,0
CG33714,0,0,0
CG33721,0,0,0.039402174
CG33722,0,0,0
CG33723,0.304121549,0.381467958,0
CG33725,0.061146448,0,0.039402174
CG33752,0,0,0.215012071
CG33757,0.149661848,0.052041256,0.070817922
CG33758,0.031214078,0.052041256,0.153771241
CG3376,2.912901557,5.508967549,2.948398206
CG33764,0,0.052041256,0.072097074
CG33766,0,0,0
CG33767,0,0.037557365,0
CG33768,0,0,0
CG33769,0,0,0.070817922
CG33770,0,0,0
CG33771,0,0,0
CG33772,0.031214078,0,0
CG33773,0.031214078,0,0
